Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
55	1.2688393592834473	1.8325	0.60466415	2.77	1.29	1000.0	0.28196588	0.16977695	0.89196086	-0.044527028	224000	2.7939677e-09	0.045890383	-0.054479077	-0.040551633	0.6897605	0.015152589	0.27325	64.0	184.08691883087158
56	1.2850438356399536	2.1925	0.58984643	2.81	1.4499999	1000.0	0.17934647	0.119116195	0.6699856	-0.1498513	228000	-9.313226e-09	0.030824088	-0.04259152	-0.023582736	0.682816	0.01531105	0.19775	28.0	187.64746689796448
57	1.3037930727005005	2.3725	0.637039	3.35	1.66	1000.0	0.19148688	0.15963028	0.6608999	-0.23241697	232000	1.8626451e-09	0.068701684	-0.03903961	-0.05966884	0.6778429	0.015733112	0.2075	24.0	191.0864279270172
58	1.324321985244751	2.5149999	0.69301873	3.62	1.7199999	1000.0	0.23097211	0.112717375	0.60805374	-0.1671394	236000	-6.9849193e-09	0.031931236	-0.044755742	-0.020603966	0.67436767	0.015360124	0.1985	33.0	194.75399804115295
59	1.3299999237060547	1.665	1.1680003	3.6499999	0.65999997	1000.0	0.22154751	0.10091368	0.58023477	-0.04549887	240000	-1.4901161e-08	0.042191006	-0.03259323	-0.032736175	0.66905797	0.015266441	0.18375	17.0	197.97604393959045
60	1.344426155090332	2.21	0.9524967	3.84	1.43	1000.0	0.15601234	0.16713858	0.6942133	-0.303683	244000	-7.450581e-09	0.052005798	-0.041612465	-0.045528606	0.66434705	0.015108662	0.1955	24.0	200.97838687896729
61	1.3649193048477173	2.6149998	1.0414532	4.22	1.31	1000.0	0.23453431	0.13329163	0.6482674	-0.16596738	248000	-7.450581e-09	0.054900654	-0.040985376	-0.040586777	0.6594795	0.01519934	0.20375	26.0	204.25832390785217
62	1.376626968383789	2.1025	0.6209418	2.73	1.0699999	1000.0	0.24533954	0.12824199	0.66347677	-0.19171426	252000	3.7252903e-09	0.031044079	-0.04549228	-0.022449497	0.6598831	0.015117666	0.21225	29.0	207.3546679019928
63	1.3932421207427979	2.44	0.6955573	3.6399999	1.9399999	1000.0	0.20718753	0.110130906	0.63192093	-0.13944815	256000	-7.450581e-09	0.032272052	-0.02780332	-0.024162292	0.6534541	0.01516004	0.11850001	13.0	210.46768474578857
64	1.4105000495910645	2.5149999	0.6001042	3.25	1.87	1000.0	0.23680124	0.12745194	0.6215693	-0.10370194	260000	9.313226e-10	0.042679105	-0.02860656	-0.033124853	0.64969784	0.015160009	0.14975	17.0	213.8530969619751
65	1.4443180561065674	3.6425	0.87895894	4.61	2.51	1000.0	0.26075605	0.12524639	0.6866386	-0.114900224	264000	9.313226e-09	0.08913471	-0.032941632	-0.07449986	0.64726037	0.01562411	0.15875	22.0	217.18560194969177
66	1.4630969762802124	2.7024999	0.79813457	3.99	1.8	1000.0	0.35039708	0.19315797	0.8955276	-0.25600892	268000	1.21071935e-08	0.07479793	-0.043361645	-0.060436126	0.6415579	0.01501856	0.22325	30.0	220.47742319107056
67	1.481066107749939	2.685	1.022289	4.39	1.67	1000.0	0.2464137	0.19996555	0.8530316	-0.30404672	272000	-1.8626451e-08	0.050598748	-0.043279134	-0.04312513	0.6343867	0.015026492	0.22225	28.0	223.92084002494812
